  1000  1.0000E+00
   i   x             den           ener          pres          vel           cs
    63  7.500000E-02  6.295682E-06  1.161132E+04  4.873411E-02  1.800000E-02  1.135846E+02
    64  7.620000E-02  6.761834E-06  1.081085E+04  4.873411E-02  1.828800E-02  1.095995E+02
    65  7.740000E-02  7.254399E-06  1.007681E+04  4.873411E-02  1.857600E-02  1.058133E+02
    66  7.860000E-02  7.774431E-06  9.402769E+03  4.873411E-02  1.886400E-02  1.022131E+02
    67  7.980000E-02  8.323005E-06  8.783027E+03  4.873411E-02  1.915200E-02  9.878723E+01
    68  8.100000E-02  8.901224E-06  8.212486E+03  4.873411E-02  1.944000E-02  9.552478E+01
    69  8.220000E-02  9.510215E-06  7.686596E+03  4.873411E-02  1.972800E-02  9.241570E+01
    70  8.340000E-02  1.015113E-05  7.201285E+03  4.873411E-02  2.001600E-02  8.945069E+01
    71  8.460000E-02  1.082515E-05  6.752904E+03  4.873411E-02  2.030400E-02  8.662116E+01
    72  8.580000E-02  1.153347E-05  6.338178E+03  4.873411E-02  2.059200E-02  8.391912E+01
    73  8.700000E-02  1.227733E-05  5.954161E+03  4.873411E-02  2.088000E-02  8.133716E+01
    74  8.820000E-02  1.305797E-05  5.598202E+03  4.873411E-02  2.116800E-02  7.886840E+01
    75  8.940000E-02  1.387669E-05  5.267910E+03  4.873411E-02  2.145600E-02  7.650643E+01
    76  9.060000E-02  1.473479E-05  4.961127E+03  4.873412E-02  2.174400E-02  7.424529E+01
    77  9.180000E-02  1.563361E-05  4.675899E+03  4.873412E-02  2.203200E-02  7.207942E+01
    78  9.300000E-02  1.657450E-05  4.410460E+03  4.873412E-02  2.232000E-02  7.000365E+01
    79  9.420000E-02  1.755886E-05  4.163208E+03  4.873412E-02  2.260800E-02  6.801313E+01
    80  9.540000E-02  1.858809E-05  3.932688E+03  4.873412E-02  2.289600E-02  6.610335E+01
    81  9.660000E-02  1.966366E-05  3.717578E+03  4.873412E-02  2.318400E-02  6.427007E+01
    82  9.780000E-02  2.078701E-05  3.516676E+03  4.873412E-02  2.347200E-02  6.250934E+01
    83  9.900000E-02  2.195966E-05  3.328885E+03  4.873412E-02  2.376000E-02  6.081744E+01
    84  1.002000E-01  2.318312E-05  3.153207E+03  4.873412E-02  2.404800E-02  5.919090E+01
